"Name","Rating","Number Of Ratings","Address","Phone Number","Website","Website to Book","Website to Search","Extra Information..."
"McDonald's","3.5","1,006","520 Paul Bunyan Dr S, Bemidji, MN 56601","(218) 759-9117","https://www.mcdonalds.com/us/en-us/location/MN/BEMIDJI/520-PAUL-BUNYAN-DR/18824.html?cid=RF:YXT:GMB::Clicks","N/A","N/A","N/A"
"Taco Bell","3.9","1,080","515 Paul Bunyan Dr NW, Bemidji, MN 56601","(218) 751-3498","https://locations.tacobell.com/mn/bemidji/515-paul-bunyan-drive.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=015843&utm_content=website&y_source=1_NjE0MzE2NC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","N/A","N/A","N/A"
"Wendy's","3.6","991","7525 McLaughlin Rd, Peyton, CO 80831","(719) 495-6864","https://locations.wendys.com/united-states/co/peyton/7525-mclaughlin-rd?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search&utm_content=EN_US","N/A","N/A","N/A"
"Arby's","3.4","128","15455 Terrazzo Dr, Monument, CO 80132 | Located in: Pilot Travel Center","(719) 481-8810","https://locations.arbys.com/co/monument/15455-terrazzo-drive.html?utm_source=google%20my%20business&utm_medium=organic&utm_campaign=website%20link","N/A","N/A","N/A"
"Sonic Drive-In","2.9","1,770","7005 Mesa Ridge Pkwy, Fountain, CO 80817","(719) 322-9783","https://www.sonicdrivein.com/locations/us/co/fountain/7005-mesa-ridge-parkway/store-5349/?utm_source=google%20my%20business&utm_medium=organic&utm_campaign=website%20link","N/A","N/A","N/A"
"Carl’s Jr.","3.5","440","11655 Meridian Market View, Falcon, CO 80831 | Located in: Falcon","(719) 886-4914","https://locations.carlsjr.com/co/falcon/11655-meridian-market-vw","N/A","N/A","N/A"
"Taco Star","3.8","725","7434 Rangewood Dr, Colorado Springs, CO 80920 | Located in: Woodmen Plaza","(719) 590-8807","https://themenustar4.com/webspace/menus.php?code=ordertacostar.com","N/A","N/A","N/A"
"Wienerschnitzel","4.0","1,124","4095 Austin Bluffs Pkwy #1, Colorado Springs, CO 80918","(719) 418-5690","https://www.wienerschnitzel.com/location/883-4095-austin-bluffs-pkwy-colorado-springs-co-80918/?utm_source=google&utm_medium=profiles&utm_campaign=local_profiles","N/A","N/A","N/A"
"Jack in the Box","3.6","1,421","6314 S U.S. Hwy 85 87, Fountain, CO 80817 | Located in: The Mart","(719) 900-5992","https://locations.jackinthebox.com/us/co/fountain/6314-s-us-highway-85-87?utm_source=google&utm_medium=local&utm_campaign=google-local","N/A","N/A","N/A"
"Subway","3.9","68","AAFES Foodcourt, Martinez St Bldg 6110, Fort Carson, CO 80913 | Located in: Fort Carson Main Exchange","(719) 576-5661","https://restaurants.subway.com/united-states/co/fort-carson/aafes-foodcourt-martinez-st?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=41063&utm_campaign=evergreen-2020&y_source=1_MTQ4OTkwNzEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","N/A","N/A","N/A"
"Five Guys","3.7","15","1286 Interquest Pkwy Suite 100, Colorado Springs, CO 80921 | Located in: Interquest Marketplace","(719) 387-1391","https://restaurants.fiveguys.com/1286-interquest-parkway","N/A","N/A","N/A"
"Culver’s","3.7","1,274","7220 Meridian Rd, Falcon, CO 80831","(719) 559-4770","http://www.culvers.com/restaurants/falcon?utm_source=Google&utm_medium=Maps&utm_campaign=Google+Places","N/A","N/A","LGBTQ+ friendly"
"Whataburger","3.6","183","2550 Montebello Dr W, Colorado Springs, CO 80918","(719) 867-6284","https://locations.whataburger.com/co/colorado-springs/2550-montebello.html","N/A","N/A","N/A"
"Chick-fil-A","4.4","3,035","7925 Fountain Mesa Rd, Fountain, CO 80817","(719) 312-3123","https://www.chick-fil-a.com/locations/co/fountain?utm_source=yext&utm_medium=link","N/A","N/A","N/A"
"A&W Restaurant","2.8","127","7384 McLaughlin Rd, Falcon, CO 80831","(719) 495-4211","https://awrestaurants.com/locations/colorado/falcon/7384-mclaughlin-rd/","N/A","N/A","N/A"
